"Word","Auditory.mean","Gustatory.mean","Haptic.mean","Interoceptive.mean","Olfactory.mean","Visual.mean","Foot_leg.mean","Hand_arm.mean","Head.mean","Mouth.mean","Torso.mean","Auditory.SD","Gustatory.SD","Haptic.SD","Interoceptive.SD","Olfactory.SD","Visual.SD","Foot_leg.SD","Hand_arm.SD","Head.SD","Mouth.SD","Torso.SD","Max_strength.perceptual","Minkowski3.perceptual","Exclusivity.perceptual","Dominant.perceptual","Max_strength.action","Minkowski3.action","Exclusivity.action","Dominant.action","Max_strength.sensorimotor","Minkowski3.sensorimotor","Exclusivity.sensorimotor","Dominant.sensorimotor","N_known.perceptual","List_N.perceptual","Percent_known.perceptual","N_known.action","List_N.action","Percent_known.action","Mean_age.perceptual","Mean_age.action","List#.perceptual","List#.action"
"commission",1.055555556,0.166666667,0.277777778,0.166666667,0.111111111,1.722222222,0.5,0.75,2.35,1.35,0.5,1.589384721,0.707106781,0.826442095,0.514495755,0.471404521,2.108960032,1,1.409553867,1.899445903,1.663066287,1,1.722222222,1.848511881,0.46031746,"Visual",2.35,2.525610087,0.339449541,"Head",2.35,2.820029971,0.250155183,"Head",18,18,1,20,20,1,42.38888889,36.6,"PN_Sample_425.csv","MN_sample_425.csv"
"compass",0.1875,0,2.375,0.0625,0,4.375,0.263157895,3,2.684210526,0.210526316,0.210526316,0.543905629,0,1.821171784,0.25,0,1.024695077,0.733492806,2.134374746,2.135744252,0.713282504,0.713282504,4.375,4.59696641,0.625,"Visual",3,3.592799019,0.438016529,"Hand_arm",4.375,5.23565414,0.32726378,"Visual",16,16,1,19,19,1,39.875,37.36842105,"PN_Sample_707.csv","MN_sample_707.csv"
"complain",3.95,0,0.2,1.3,0,1,0.3,1.05,3.35,4.5,0.4,1.571958216,0,0.615587011,1.894590638,0,1.486783883,0.571240571,1.637552731,1.980829172,0.827170192,0.753937035,3.95,4.017318141,0.612403101,"Auditory",4.5,5.065394321,0.4375,"Mouth",4.5,5.79694523,0.280373832,"Mouth",20,20,1,20,20,1,36.6,38.8,"PN_Sample_055.csv","MN_sample_055.csv"
"complaint",4.1,0.25,0.05,0.25,0.3,1.35,0.105263158,0.210526316,2.473684211,3,0.052631579,1.586124041,0.786397516,0.223606798,0.550119604,1.128576187,1.814415956,0.315301768,0.535303379,2.220320824,2.211083194,0.229415734,4.1,4.149349102,0.642857143,"Auditory",3,3.48008823,0.504504505,"Mouth",4.1,4.842947167,0.333550065,"Auditory",20,20,1,19,19,1,35.05,36.94736842,"PN_Sample_148.csv","MN_sample_148.csv"
"compliment",3.7,0.3,0.45,1.55,0.1,1.05,0.473684211,1,2.947368421,3.578947368,0.421052632,1.525226472,0.923380517,1.099042646,1.820208201,0.447213595,1.637552731,1.123902974,1.795054936,1.870047064,2.11649053,0.901590537,3.7,3.817958052,0.503496503,"Auditory",3.578947368,4.172207147,0.375,"Mouth",3.7,5.043363351,0.231198242,"Auditory",20,20,1,19,19,1,36.25,35.89473684,"PN_Sample_262.csv","MN_sample_262.csv"
"composition",2.842105263,0.315789474,1.368421053,0.526315789,0.473684211,3.421052632,0.421052632,1.052631579,1.421052632,0.789473684,0.421052632,1.863782233,0.820069887,1.460993814,0.904827857,0.964274111,1.773752753,1.304513084,1.71508614,1.835325871,1.397575177,1.304513084,3.421052632,4.038011787,0.347058824,"Visual",1.421052632,1.672374527,0.243589744,"Head",3.421052632,4.131451897,0.237903226,"Visual",19,19,1,19,19,1,39.89473684,39.21052632,"PN_Sample_678.csv","MN_sample_678.csv"
"computer",2.722222222,0.222222222,3.833333333,0.5,0.166666667,4.666666667,0.052631579,3.315789474,3.368421053,0.105263158,0.052631579,1.708303443,0.732084498,1.382665797,0.857492926,0.514495755,0.685994341,0.229415734,1.634782744,1.920952493,0.315301768,0.229415734,4.666666667,5.628089605,0.371559633,"Visual",3.368421053,4.211077231,0.480916031,"Head",4.666666667,6.32426772,0.242769231,"Visual",18,19,0.947368421052632,19,19,1,32.55555556,31.42105263,"PN_Sample_008.csv","MN_sample_008.csv"
"computing",1.111111111,0,0.666666667,0.666666667,0,2.888888889,0.210526316,3.052631579,3.894736842,0.526315789,0.368421053,1.3234931,0,1.236693885,1.533929978,0,1.967048816,0.713282504,1.778691286,1.486783883,0.964274111,0.955133866,2.888888889,2.965306787,0.541666667,"Visual",3.894736842,4.443413683,0.45751634,"Head",3.894736842,4.846034258,0.29095675,"Head",18,18,1,19,19,1,42.27777778,31.84210526,"PN_Sample_572.csv","MN_sample_572.csv"
"conceive",0.857142857,0.142857143,1.19047619,2.333333333,0.238095238,1.285714286,0.894736842,1.052631579,3.315789474,1.842105263,1.421052632,1.492840055,0.478091444,1.66189794,2.105548226,0.538958431,1.521277659,1.629408101,1.544656891,1.827342684,1.92247404,1.923994383,2.333333333,2.579443497,0.362204724,"Interoceptive",3.315789474,3.62052376,0.283950617,"Head",3.315789474,4.012894288,0.217712812,"Head",21,21,1,19,19,1,35.52380952,34.47368421,"PN_Sample_242.csv","MN_sample_242.csv"
"concentrate",0.842105263,0.157894737,0.210526316,3.052631579,0.157894737,2.052631579,0.368421053,0.684210526,4.105263158,0.631578947,0.526315789,1.42451387,0.688247202,0.713282504,1.71508614,0.688247202,1.840099158,0.955133866,1.249561327,1.370106924,1.065130473,0.904827857,3.052631579,3.353367066,0.447154472,"Interoceptive",4.105263158,4.120398128,0.591666667,"Head",4.105263158,4.757254342,0.308641975,"Head",19,19,1,19,19,1,38.42105263,40.84210526,"PN_Sample_204.csv","MN_sample_204.csv"
"concept",2.833333333,0.5,0.611111111,0.777777778,0.5,3.055555556,0.3,0.65,3.05,1.5,0.25,2.036432867,1.339446769,1.334558261,1.555088632,1.339446769,1.924217862,0.97872097,1.268027893,1.986136159,2.013114895,0.910465468,3.055555556,3.737816477,0.308724832,"Visual",3.05,3.176946127,0.486956522,"Head",3.055555556,4.384499968,0.2,"Visual",18,18,1,20,20,1,33.72222222,32.75,"PN_Sample_497.csv","MN_sample_497.csv"
"conception",1.2,0.3,1.05,2.4,0.45,1.55,0.8,1.1,2.05,0.85,2.35,1.609184167,0.923380517,1.820208201,2.01049876,1.099042646,1.820208201,1.151657844,1.447320573,1.986136159,1.386969434,1.87153188,2.4,2.73914731,0.302158273,"Interoceptive",2.35,2.886505876,0.216783217,"Torso",2.4,3.546369362,0.14893617,"Interoceptive",20,20,1,20,20,1,35.65,41.25,"PN_Sample_025.csv","MN_sample_025.csv"
"concern",3,0,0.368421053,3.263157895,0.052631579,2,0.3,0.65,2.5,2.1,0.35,1.914854216,0,0.76088591,1.910267732,0.229415734,1.666666667,0.923380517,1.308876577,2.039091645,2.149663376,0.812727701,3.263157895,4.117295747,0.375757576,"Interoceptive",2.5,2.932976742,0.372881356,"Head",3.263157895,4.563341419,0.22374594,"Interoceptive",19,19,1,20,20,1,40.47368421,35.45,"PN_Sample_754.csv","MN_sample_754.csv"
"condition",1.526315789,0.210526316,1.631578947,1.684210526,0.421052632,3,1.105263158,1.526315789,2.210526316,0.842105263,1.157894737,1.678902454,0.535303379,1.862212731,1.796683104,0.837707817,1.699673171,1.594948165,1.806421295,2.175084861,1.537066394,1.740471133,3,3.413111447,0.329192547,"Visual",2.210526316,2.613788777,0.2,"Head",3,3.86235046,0.182130584,"Visual",19,19,1,19,20,0.95,39.36842105,37,"PN_Sample_513.csv","MN_sample_513.csv"
"conduct",2.8,0.1,0.6,1.1,0.1,3.45,1.047619048,2.047619048,3.238095238,2.047619048,1.333333333,1.7651599,0.447213595,1.046296728,1.651155895,0.447213595,1.316894273,1.802115159,2.246690688,1.786190413,2.155833724,1.798147195,3.45,4.011728597,0.411042945,"Visual",3.238095238,3.794699331,0.225490196,"Head",3.45,4.921539499,0.18752499,"Visual",20,20,1,21,21,1,37.65,38.61904762,"PN_Sample_404.csv","MN_sample_404.csv"
"confession",3.588235294,0.352941176,0.588235294,1.176470588,0.235294118,1.764705882,0.380952381,1.047619048,2.476190476,3.523809524,0.476190476,1.839117435,1.221739358,1.325651893,1.333945938,0.664211164,1.985239651,0.973457265,1.596126263,2.015416771,2.040074695,1.123345344,3.588235294,3.770045464,0.435114504,"Auditory",3.523809524,3.920336651,0.397590361,"Mouth",3.588235294,4.846486706,0.214785573,"Auditory",17,17,1,21,21,1,43.11764706,35.52380952,"PN_Sample_463.csv","MN_sample_463.csv"
